"","Recording_ID","Recordist","License","Url"
"123",239649,"Dylan Pedro","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/239649"
"124",233743,"Daniel Parker","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/233743"
"125",184189,"Daniel Parker","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/184189"
"126",163245,"Daniel Parker","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/163245"
"127",163236,"Daniel Parker","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/163236"
"128",138489,"Kim Allen","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/138489"
"129",138137,"John Topolski","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/138137"
"130",137541,"Kim Allen","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/137541"
"131",67163,"Daniel Lane","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/67163"
"132",58467,"Mike Nelson","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/58467"
"133",16895,"Allen T. Chartier","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/16895"
"134",313674,"Greg Tomerlin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/313674"
"135",163252,"Daniel Parker","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/163252"
"136",433490,"Lauren Harter","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/433490"
"137",78695,"Mike Nelson","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/78695"
"138",490271,"Juan Carlos Pérez Magaña","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/490271"
"139",470302,"Pat Goltz","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/470302"
"140",468374,"Giuseppe Speranza","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/468374"
"141",468176,"Giuseppe Speranza","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/468176"
"142",544966,"Jim Berry","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/544966"
"143",542149,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/542149"
"144",542090,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/542090"
"145",534849,"Scott Crabtree","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/534849"
